Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
01-Jan-19,27231.4,27430.55,27019.05,27392.4,116379065,3497.39﻿
02-Jan-19,27297,27397.55,27077.6,27174.7,176599164,4422.44
03-Jan-19,27181.6,27206.2,26923.75,26959.85,151201387,4032.83
04-Jan-19,26999.7,27274.5,26926.1,27195,189451222,4440.79
07-Jan-19,27378.65,27477.8,27279.55,27304.55,161026470,4112.84
08-Jan-19,27301.9,27542.4,27161.95,27509.5,150550286,4359.43
09-Jan-19,27651.25,27754.45,27409.5,27720.4,199818392,6148.74
10-Jan-19,27713.55,27713.55,27488.2,27528.55,139266179,4308.94
11-Jan-19,27602.8,27612.45,27382.45,27453.9,116552104,3510.63
14-Jan-19,27389.2,27389.8,27182.2,27248.25,212863498,4859.32
15-Jan-19,27317.55,27447.55,27317.1,27400.75,161396521,3884.4
16-Jan-19,27405.65,27554.75,27403.05,27483.7,183688179,4155.93
17-Jan-19,27568.6,27611.55,27335.15,27528.75,212321274,4941.09
18-Jan-19,27550.05,27576.45,27410.65,27456.7,129067258,3343.81
21-Jan-19,27514.55,27622.2,27388.5,27533.6,128881764,4626.77
22-Jan-19,27526.55,27533.35,27385.4,27482.25,138997867,4661.51
23-Jan-19,27493.1,27564.7,27189.6,27250.75,126935738,3525.23
24-Jan-19,27273.5,27342.35,27142.8,27266.4,210279603,5373.42
25-Jan-19,27261.45,27433.55,27045.2,27115.3,284535180,7269.49
28-Jan-19,27041.45,27134.2,26587.95,26653.05,181836992,5404.63
29-Jan-19,26616.25,26743.85,26441.55,26573.4,194369347,5235.15
30-Jan-19,26789.75,26916.25,26693.7,26825.5,249270714,8955.81
31-Jan-19,26969.15,27325.05,26891.05,27295.45,306292995,9985.48
01-Feb-19,27334.55,27533.05,26930.45,27085.95,238794913,6813.15
04-Feb-19,26974,27243.8,26825.55,27186.6,173078574,4342.07
05-Feb-19,27226.05,27348.25,27153.2,27271.7,189860429,4160.27
06-Feb-19,27326.2,27428.65,27294.1,27402.35,164747849,3816.51
07-Feb-19,27424.1,27589.75,27322.95,27387.15,156626117,3637.06
08-Feb-19,27302.65,27482.1,27221.25,27294.4,142258447,3838.29
11-Feb-19,27240.5,27305.9,27151.55,27227.8,117311228,3186.38
12-Feb-19,27166.9,27286.65,26988.9,27010.75,117431255,3697.43
13-Feb-19,27068.85,27108,26839.05,26885.4,112116513,3288.32
14-Feb-19,26978,27030,26818.05,26970.6,374943572,8959.41
15-Feb-19,27017.2,27029.95,26635.25,26794.25,252673681,6444.39
18-Feb-19,26754.6,26829.95,26617.7,26654.25,175449436,4231.5
19-Feb-19,26666.55,26996.45,26625.6,26684.85,129759984,3282.94
20-Feb-19,26786,26985.5,26732.65,26955.5,130711905,3256.71
21-Feb-19,26994.75,27100.9,26973,27052.4,148275410,3574.09
22-Feb-19,26960.05,26997.35,26847.8,26867.55,221450091,13958.07
25-Feb-19,26934.2,27197.1,26932.65,27159.25,141100629,4254.38
26-Feb-19,26853.8,27127.25,26736.6,26952.95,201083249,5390.59
27-Feb-19,27078.1,27189.45,26719.4,26799.3,193745424,5604.59
28-Feb-19,26878,26920.5,26762.55,26789.9,191588675,6926.21
01-Mar-19,26941,27076.55,26928.9,27043.9,189425878,4531.37
05-Mar-19,27068.15,27580.75,26958.1,27554.05,207435129,5122.25
06-Mar-19,27618.1,27681.65,27492.05,27625.65,179778089,4966.69
07-Mar-19,27661,27815.5,27560,27764.6,208017462,4715.54
08-Mar-19,27686.15,27811.35,27645.4,27761.8,140524297,3711.24
11-Mar-19,27840.1,28035.6,27791.25,27966.65,148235712,4381.47
12-Mar-19,28168.2,28488.1,28142.25,28443.7,184260495,6427.57
13-Mar-19,28480.3,28927.7,28353.65,28884.3,206998023,9124.75
14-Mar-19,29028.9,29070.35,28819.75,28923.1,187139544,6138.11
15-Mar-19,29007,29520.7,28990.85,29381.45,296217360,9607.37
18-Mar-19,29521.6,29812,29361.65,29596.1,185741004,5835.92
19-Mar-19,29702.6,29799.75,29547.7,29767.85,222296391,5295.3
20-Mar-19,29769.65,29885.2,29633.5,29832.2,194921072,5196.81
22-Mar-19,29920.75,30008.1,29508.7,29582.5,219823784,6622.27
25-Mar-19,29329.4,29329.4,29156.25,29281.2,132018394,3876.07
26-Mar-19,29300.4,29950.15,29278.5,29882.15,131212876,4159.59
27-Mar-19,30034.15,30262.55,29790.25,30019.8,260544922,8006.3
28-Mar-19,30064.8,30496.05,29969.1,30420.55,292110701,9523.9
29-Mar-19,30480.35,30499.15,30235.9,30426.8,219687116,6217.73
01-Apr-19,30537.6,30648.1,30218.35,30326.5,224440509,5594.91
02-Apr-19,30450.1,30452.9,30155.85,30354.25,196482019,5205.38
03-Apr-19,30440.85,30602.55,30036.25,30093.3,193071867,5203.95
04-Apr-19,30147.3,30245.7,29809.9,29904.9,199631082,5460.27
05-Apr-19,30002.85,30174,29850,30084.65,154141037,4130.84
08-Apr-19,30201.5,30232.05,29716.6,29845.3,147201421,3687.89
09-Apr-19,29901.5,30165.05,29703.55,30113.85,165462138,4788.34
